Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Ejecución No.,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,25,True,66633.43611347987,0.012631578947368424
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,26,True,67172.96048361057,0.0218421052631579
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,27,True,66633.43611347987,0.016315789473684214
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,28,True,66633.43611347987,0.015000000000000005
cruce_bordes | mutacion_insercion | mut:0.05 | pob:200 | elit:True,cruce_bordes,mutacion_insercion,0.05,200,29,True,66633.43611347987,0.01578947368421053
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,0,True,69810.85608217977,0.026052631578947376
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,1,True,81068.7276494707,0.05236842105263159
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,2,True,66633.43611347987,0.026052631578947372
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,3,True,75505.60578116751,0.02131578947368422
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,4,True,69139.00261223293,0.024473684210526325
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,5,True,67172.96048361057,0.02315789473684211
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,6,True,70377.30015361255,0.016578947368421058
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,7,True,67172.96048361057,0.02894736842105264
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,8,True,70010.25146433199,0.027368421052631584
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,9,True,66633.43611347987,0.03000000000000001
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,10,True,66633.43611347987,0.02078947368421053
cruce_bordes | mutacion_insercion | mut:0.1 | pob:50 | elit:True,cruce_bordes,mutacion_insercion,0.1,50,11,True,66633.43611347987,0.012631578947368424
