Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Ejecución No.,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,11,True,66633.43611347987,0.022105263157894742
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,12,True,66836.85134468594,0.007631578947368422
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,13,True,66633.43611347987,0.003947368421052633
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,14,True,69720.2545994106,0.02052631578947369
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,15,True,66633.43611347987,0.016578947368421058
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,16,True,66633.43611347987,0.014736842105263161
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,17,True,66633.43611347987,0.009473684210526318
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,18,True,67552.68156416502,0.010263157894736846
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,19,True,69923.66983061667,0.015263157894736845
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,20,True,67172.96048361057,0.003157894736842106
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,21,True,70755.27813063971,0.008684210526315793
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,22,True,66633.43611347987,0.007894736842105265
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,23,True,70259.77896954131,0.015000000000000005
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,24,True,67172.96048361057,0.007894736842105265
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,25,True,70377.30015361255,0.022631578947368426
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,26,True,69720.2545994106,0.011052631578947371
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,27,True,70936.68388745279,0.023684210526315797
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,28,True,71412.01937568367,0.01815789473684211
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:True,cruce_bordes,mutacion_insercion,0.05,100,29,True,66633.43611347987,0.0007894736842105265
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,0,False,67172.96048361057,0.012894736842105266
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,1,False,67172.96048361057,0.007894736842105265
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,2,False,66726.02063235328,0.02526315789473685
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,3,False,66633.43611347987,0.011842105263157899
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,4,False,66633.43611347987,0.02052631578947369
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,5,False,71790.61503755504,0.022631578947368426
cruce_bordes | mutacion_insercion | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_insercion,0.05,100,6,False,78096.00314305467,0.003157894736842106
