Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Diversidad_Final
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,128547.53046972342,0.0968421052631579
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,124211.60642063203,0.1336842105263158
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,139647.09967640584,0.11131578947368422
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,134251.4596816316,0.10552631578947368
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,125956.60085621248,0.09868421052631579
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,137855.7013943499,0.11078947368421053
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,126677.1868992106,0.0768421052631579
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,130571.4140929004,0.12315789473684209
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,130481.10814642193,0.13657894736842105
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,138814.41387151193,0.09105263157894736
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,121430.50320703581,0.11236842105263158
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,122316.29765452266,0.14394736842105263
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,125913.05210022374,0.10157894736842105
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,124228.49280640368,0.055
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,136488.2814151305,0.11026315789473685
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,129201.73844416259,0.11131578947368422
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,123127.06144480882,0.11473684210526315
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,116756.80515467514,0.09473684210526315
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:50 | elit:True,cruce_pmx,mutacion_intercambio,0.1,50,True,114196.69034212014,0.07263157894736842
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,120817.29795855482,0.12026315789473685
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,135129.01950048833,0.12236842105263157
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,127405.5825207312,0.12842105263157894
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,123820.21278981175,0.1294736842105263
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,133509.78003694685,0.14105263157894737
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,120757.67622363546,0.14105263157894737
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,136256.9022451695,0.12657894736842107
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,129548.28175553225,0.12131578947368421
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,117200.83992341318,0.15026315789473685
cruce_pmx | mutacion_intercambio | mut:0.1 | pob:100 | elit:True,cruce_pmx,mutacion_intercambio,0.1,100,True,119598.35372832765,0.12263157894736842
