Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Ejecución No.,Diversidad_Final
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,196744.19025056827,21,0.01263157894736842
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,200304.52128027732,22,0.018421052631578946
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,203989.7317910568,23,0.017894736842105262
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,194142.7145983163,24,0.02973684210526316
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,205213.8247173236,25,0.018947368421052633
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,208781.6273282627,26,0.015263157894736841
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,192632.3058249659,27,0.038947368421052626
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,189662.54135479496,28,0.03026315789473684
cruce_bordes | mutacion_intercambio | mut:0.05 | pob:100 | elit:False,cruce_bordes,mutacion_intercambio,0.05,100,False,198257.27409789545,29,0.06421052631578947
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,129247.59989866134,0,0.09131578947368421
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,124216.63913502329,1,0.08026315789473686
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,118792.57832754524,2,0.12052631578947366
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,114573.06014690908,3,0.1
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,112620.56531117449,4,0.13736842105263158
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,130025.0307282651,5,0.13
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,126702.72377099365,6,0.13263157894736843
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,126232.75727860031,7,0.12815789473684214
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,122328.35880348299,8,0.10026315789473685
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,139960.0427128251,9,0.11
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,136015.1903416536,10,0.1168421052631579
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,121708.61083098162,11,0.08710526315789473
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,126294.85557523328,12,0.11078947368421051
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,124609.58390545077,13,0.15684210526315787
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,124985.87376628263,14,0.10342105263157896
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,126430.63916274192,15,0.08157894736842106
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,126772.48338087679,16,0.09421052631578948
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,131853.30670549293,17,0.0736842105263158
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,127299.80680659818,18,0.09842105263157894
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,126046.08759640329,19,0.1
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,115832.54789430196,20,0.13105263157894737
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,123374.60252333604,21,0.13
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,126206.93035226726,22,0.12973684210526315
cruce_ciclos | mutacion_intercambio | mut:0.05 | pob:100 | elit:True,cruce_ciclos,mutacion_intercambio,0.05,100,True,131116.43417848338,23,0.09210526315789475
