Configuracion,Cruza,Mutacion,Penalizacion,Elitismo,Ejecucion_No,Mejor_Fitness,Diversidad_Final,Peso_Final,Valor_Final
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,26,325.0,0.0026266666666666643,50,325
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,27,315.0,0.005266666666666661,50,315
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,28,319.0,0.003913333333333334,50,319
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,29,305.0,0.00395333333333333,50,305
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,30,335.0,0.0026333333333333317,50,335
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,31,309.0,0.0039399999999999965,50,309
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,32,319.0,0.0026333333333333304,50,319
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,33,302.0,0.004276666666666664,49,302
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,34,293.0,0.003616666666666664,50,293
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,35,286.0,0.002633333333333331,50,286
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,36,329.0,0.005919999999999995,50,329
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,37,0.0,0.16742666666666664,102,592
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,38,317.0,0.004269999999999995,50,317
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,39,300.0,0.004276666666666663,50,300
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,40,292.0,0.005259999999999995,50,292
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,41,311.0,0.00395333333333333,50,311
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,42,304.0,0.0029699999999999987,50,304
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,43,300.0,0.003293333333333331,50,300
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,44,319.0,0.0023033333333333313,50,319
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,45,299.0,0.0032799999999999956,50,299
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,46,318.0,0.0032933333333333304,50,318
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,47,298.0,0.005266666666666663,50,298
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,48,297.0,0.00362333333333333,50,297
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,49,300.0,0.0023099999999999987,49,300
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,50,277.0,0.004283333333333332,50,277
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,51,317.0,0.003299999999999998,49,317
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,52,0.0,0.13885333333333336,144,809
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,53,330.0,0.0032800000000000004,50,330
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,54,311.0,0.003286666666666664,50,311
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,55,279.0,0.003939999999999996,50,279
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,56,318.0,0.002969999999999999,50,318
cruce_un_punto | mutacion_un_gen | fitness_cero | Elitismo:False,cruce_un_punto,mutacion_un_gen,fitness_cero,False,57,268.0,0.002956666666666664,50,268
