Configuracion,Cruza,Mutacion,Tasa_mutacion,Tam_poblacion,Elitismo,Mejor_Fitness,Ejecución No.,Diversidad_Final
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,122761.47447009222,6,0.08131578947368422
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,125982.32834327803,7,0.07394736842105262
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,128636.46621734148,8,0.09736842105263158
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,130218.65730578995,9,0.12157894736842106
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,128306.49203717454,10,0.10631578947368421
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,127824.2560043723,11,0.07631578947368421
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,128703.2758303874,12,0.12631578947368421
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,127905.07041460449,13,0.10789473684210528
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,127693.08330584563,14,0.14684210526315788
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,112428.81196548638,15,0.08421052631578947
cruce_ciclos | mutacion_inversion | mut:0.05 | pob:200 | elit:True,cruce_ciclos,mutacion_inversion,0.05,200,True,110479.08140594458,16,0.09973684210526317
